媒体名称,收录类型,地区,门户类型,收录效果,频道类型,成本价,案例,入口,备注
汽车大世界,百度新闻源收录,全国,全国商业门户,不包百度新闻源收录,汽车,38,http://news.mycar168.com/2018/11/529691.html,,
汽车新闻网,网页收录,全国,全国商业门户,不包网页收录,汽车,45,http://www.cnautonews.net/index.php?s=/Index/artical/aid/8485/,,只收汽车行业稿件，灰色稿件不包时效
汽车网评-,百度新闻源收录,全国,全国商业门户,包百度新闻源收录,汽车,50,http://www.qcwp.com/news/343844.html,,只收汽车行业稿件，灰色稿件不包时效
凤凰网-汽车广州,百度新闻源收录,广东,中国五大门户,不包百度新闻源收录,汽车,50,http://auto.ifeng.com/guangzhou/shangqing/2018/0724/34575.shtml,,只收汽车行业稿件，标题18字符以下，灰色稿件不包时效
爱卡乌鲁木齐,网页收录,全国,全国商业门户,不包网页收录,汽车,38,http://newcar.xcar.com.cn/wulumuqi/201805/news_2009389_1.html,,只收汽车行业稿件，灰色稿件不包时效
车周刊/闻道,网页收录,全国,全国商业门户,不包网页收录,汽车,50,http://www.automag.com.cn/NewsDetail/806573.html#?tdsourcetag=s_pcqq_aiomsg#invite0,,可带链接、二维码、电话
爱车迷,网页收录,全国,全国商业门户,不包网页收录,汽车,45,http://www.iautofan.com/news/20181121/453745.html?tdsourcetag=s_pcqq_aiomsg,,可带链接、二维码、电话
阳光汽车网,网页收录,全国,全国商业门户,不包网页收录,汽车,50,http://auto.sun0769.com/article/huodong/201708/2017081758702.html,,标题20字符以内，可带链接、二维码、电话
中山网车世界,网页收录,全国,全国商业门户,不包网页收录,汽车,60,http://www.zsnews.cn/car.html?aid=590662,,有机率网页收录带首页呈现(不保证），可带链接、二维码、电话
荆楚网-汽车,百度新闻源收录,全国,全国商业门户,不包百度新闻源收录,汽车,70,http://auto.cnhubei.com/2016/0524/310582.shtml,,可带链接、二维码、电话
巴渝车网,网页收录,全国,全国商业门户,不包网页收录,汽车,70,http://www.bayuche.com/shijia/2012100855025.html,,可带链接、二维码、电话
四川热线汽车,网页收录,全国,全国商业门户,不包网页收录,汽车,55,http://www.sichuan163.com/qiche/show-697.html,,有机率网页收录带首页呈现（不保证），可带链接、二维码、电话
北方网-汽车,百度新闻源收录,全国,地方重点门户,不包百度新闻源收录,汽车,50,http://auto.enorth.com.cn/system/2016/05/26/030989327.shtml,,不包图，可带链接、二维码、电话
我车网,网页收录,全国,全国商业门户,不包网页收录,汽车,35,http://www.5auto.net/zixun/201804181111.html,,可带链接、二维码、电话
南方汽车网,网页收录,全国,全国商业门户,不包网页收录,汽车,45,http://www.nfqiche.com/yc/9269.html,,网页收录带首页呈现（不保证），可带链接、二维码、电话
人人评车网,网页收录,全国,全国商业门户,不包网页收录,汽车,40,http://www.autoren.cn/usage/20180810300602.html,,可带链接、二维码、电话
一点车讯,网页收录,全国,全国商业门户,不包网页收录,汽车,40,http://www.1dche.com/jingxiaoshang/20180510122220.html,,可带链接、二维码、电话，只发汽车行业类稿件 ，其他稿件不审不发（勿上）
车新闻,网页收录,全国,全国商业门户,不包网页收录,汽车,50,http://www.chexinwen.com/news/201504/25882.html,,可带链接、二维码、电话
车快报,网页收录,全国,全国商业门户,不包网页收录,汽车,50,http://www.autokuaibao.com/GroupNew_M.aspx?title=3&id=2076,,可带链接、二维码、电话
大河车城,网页收录,全国,全国商业门户,不包网页收录,汽车,65,http://www.dahecc.com/Article/Show.asp?id=32122,,可带链接、二维码、电话
奥杰汽车网,网页收录,全国,全国商业门户,不包网页收录,汽车,40,http://www.aojauto.com/html/FactoryNews/1492916432397781.shtml,,网页收录带首页呈现（不保证）， 可带链接、二维码、电话
中国汽车交易网许昌,网页收录,全国,全国商业门户,不包网页收录,汽车,40,http://news.auto18.com/html/2017-07-03/news_20170703302438.html,,网页收录带首页呈现（不保证）， 可带链接、二维码、电话
汽车经济网,网页收录,全国,全国商业门户,不包网页收录,汽车,50,http://www.autojingji.com/html/kanche/20150803/445606_1.html,,联系方式只带二维码、不能带链接、电话
品牌汽车,网页收录,全国,全国商业门户,不包网页收录,汽车,50,http://www.brandcar.net/news_show.asp?id=18646,,可带链接、二维码、电话
汽车销量网,网页收录,全国,全国商业门户,不包网页收录,汽车,40,http://www.chexiaoliang.com/show/139.html,,可带链接、二维码、电话
中国汽车动态网,网页收录,全国,全国商业门户,不包网页收录,汽车,150,http://www.chinaauto.net/xcyczx/cycxw/2015-07-21/814381.htm,,有机率网页收录带首页呈现（不保证），可带链接、二维码、电话
团车网北京,网页收录,全国,全国商业门户,不包网页收录,汽车,50,http://bj.tuanche.com/zx-cs/sj/590175.html,,可带链接、二维码、电话
新浪网汽车-主站,百度新闻源收录,全国,中国五大门户,包百度新闻源收录,汽车,65,http://auto.sina.com.cn/j_kandian.d.html?docid=hnyuqhi4681885&subch=bauto&hpid=00012,,收录好，权重高
第一车讯,网页收录,全国,全国商业门户,包网页收录,汽车,20,http://www.eolol.com,,"汽车，资讯频道包收录,没收录的隔天反馈"
中国车网,网页收录,全国,全国商业门户,包网页收录,汽车,20,http://www.njnzmc.com,,"根据内容安排频道，需指定频道请提前备注，汽车,新闻频道包收录"
中国汽车新闻网,网页收录,全国,全国商业门户,不包网页收录,汽车,20,http://www.gzg5.com,,根据内容安排频道，需指定频道请提前备注。
中国车坛,网页收录,全国,全国商业门户,不包网页收录,汽车,20,http://www.ahjzcm.com,,根据内容安排频道，需指定频道请提前备注。
汽车测评网,网页收录,全国,全国商业门户,不包网页收录,汽车,20,http://www.qhfz168.com,,根据内容安排频道，需指定频道请提前备注。
汽车商讯,网页收录,全国,全国商业门户,不包网页收录,汽车,20,http://www.qicheshangxun.com/a/shangyequan/shangye/461.html,,
腾讯汽车-中山,百度新闻源收录,广东,中国五大门户,不包百度新闻源收录,汽车,28,http://zhongshan.auto.qq.com/a/20180824/059250.htm,,
车天下.,网页收录,全国,全国商业门户,不包网页收录,汽车,32,http://news.chetxia.com/news/2018-09-20/10682709.htm?tdsourcetag=s_pcqq_aiomsg,,
汽车之家（车家号）,网页收录,全国,全国商业门户,不包网页收录,新闻资讯,25,https://chejiahao.autohome.com.cn/info/2786541,,上相关稿件
迅捷汽车网,网页收录,全国,全国商业门户,不包网页收录,汽车,35,http://www.xjche365.com/news/gdkx/2018/0321/7911.html,,周末可发；医疗 微商 加盟  婚纱  金融可发不保证
汽车之家-珠海,百度新闻源收录,广东,全国商业门户,不包百度新闻源收录,汽车,45,https://www.autohome.com.cn/news/201803/100161160.html,,周末可发 发汽车相关，其它稿件删稿不退稿费
汽车之家-江门,百度新闻源收录,广东,全国商业门户,不包百度新闻源收录,汽车,45,https://www.autohome.com.cn/news/201803/100164200.html,,周末可发 发汽车相关，其它稿件删稿不退稿费
汽车之家-中山,百度新闻源收录,广东,全国商业门户,不包百度新闻源收录,汽车,45,https://www.autohome.com.cn/news/201803/100164199.html,,周末可发 发汽车相关，其它稿件删稿不退稿费
汽车之家全国地方站,百度新闻源收录,全国,全国商业门户,不包百度新闻源收录,汽车,45,https://www.autohome.com.cn/news/201804/100165486.html,,周末可发 发全国各地方站参见https://www.autohome.com.cn/AreaList.html#pvareaid=3311666只发汽车相关，其它稿件删稿不退稿费
汽车之家主站,百度新闻源收录,全国,全国商业门户,不包百度新闻源收录,汽车,50,https://www.autohome.com.cn/news/201804/100165486.html,,周末可发 发汽车相关，其它稿件删稿不退稿费
凤凰网-汽车内江,百度新闻源收录,四川,地方商业门户,不包百度新闻源收录,汽车,35,http://auto.ifeng.com/neijiang/shangqing/2018/0625/6.shtml,,周末可发 发汽车相关，其它稿件删稿不退稿费
凤凰网-汽车绵阳,百度新闻源收录,四川,地方商业门户,不包百度新闻源收录,汽车,35,http://auto.ifeng.com/mianyang/shangqing/2018/0625/1.shtml,,周末可发 发汽车相关，其它稿件删稿不退稿费
凤凰网-汽车南充,百度新闻源收录,四川,地方商业门户,不包百度新闻源收录,汽车,35,http://auto.ifeng.com/nanchong/shangqing/2018/0628/11.shtml,,周末可发 只发汽车相关
凤凰网-汽车广元,百度新闻源收录,四川,地方商业门户,不包百度新闻源收录,汽车,35,http://auto.ifeng.com/guangyuan/shangqing/2018/0628/1.shtml,,周末可发 只发汽车相关
凤凰网-汽车乐山,网页收录,四川,地方商业门户,不包百度新闻源收录,汽车,35,http://auto.ifeng.com/leshan/shangqing/2018/0626/46.shtml,,周末可发 只发汽车相关
凤凰网-汽车南昌,百度新闻源收录,江西,全国商业门户,不包百度新闻源收录,汽车,33,http://auto.ifeng.com/nanchang/shangqing/2018/0331/22698.shtml,,周末可发 只发汽车相关
凤凰网-汽车宁波,百度新闻源收录,浙江,全国商业门户,不包百度新闻源收录,汽车,33,http://auto.ifeng.com/ningbo/shangqing/2018/0404/19197.shtml,,周末可发 只发汽车相关
凤凰网-汽车佛山,百度新闻源收录,广东,全国商业门户,不包百度新闻源收录,汽车,33,http://auto.ifeng.com/foshan/shangqing/2018/0405/12167.shtml,,周末可发 只发汽车相关
凤凰网-汽车盐城,百度新闻源收录,江苏,全国商业门户,不包百度新闻源收录,汽车,33,http://auto.ifeng.com/yancheng/shangqing/2018/0917/86.shtml,,周末可发 只发汽车相关
凤凰网-汽车无锡,百度新闻源收录,江苏,全国商业门户,不包百度新闻源收录,汽车,33,http://auto.ifeng.com/wuxi/xinwen/2018/0809/39.shtml,,周末可发 只发汽车相关
凤凰网-汽车苏州,百度新闻源收录,江苏,全国商业门户,不包百度新闻源收录,汽车,33,http://auto.ifeng.com/suzhou/daodian/2018/0918/24916.shtml,,周末可发 只发汽车相关
凤凰网-汽车成都-,百度新闻源收录,四川,全国商业门户,不包百度新闻源收录,汽车,43,http://auto.ifeng.com/chengdu/shangqing/2018041222364.shtml,,周末可发 发汽车相关；标题18字内
凤凰网-汽车北京,百度新闻源收录,北京,全国商业门户,不包百度新闻源收录,新闻资讯,50,http://auto.ifeng.com/beijing/xinwen/2018/0408/50764.shtml,,周末可发 发汽车相关 标题18字内
汽车头条-,百度新闻源收录,全国,全国商业门户,包百度新闻源收录,汽车,12,https://www.qctt.cn/news/309646,,周末可发，只发汽车相关，不带任何联系方式
东方网-汽车,百度新闻源收录,全国,全国商业门户,不包百度新闻源收录,汽车,15,http://auto.eastday.com/a/180814153948117.html,,周末不发；只发汽车相关
北青网-汽车,网页收录,全国,全国商业门户,不包网页收录,汽车,120,http://auto.ynet.com/2018/10/11/1465683t990.html,,周末不发；只发汽车相关
网易-汽车东营,网页收录,山东,中国五大门户,不包网页收录,汽车,30,http://dongying.auto.163.com/370500/43862/sales/201804/633690.html#2017rchqdongying,,周末可发 只发汽车相关，
网易-汽车临沂,网页收录,山东,中国五大门户,不包网页收录,汽车,30,http://linyi.auto.163.com/371300/38329/sales/201803/627403.html#2017rchqlinyi,,周末可发 只发汽车相关
网易-汽车济宁,网页收录,山东,中国五大门户,不包网页收录,汽车,30,http://jining.auto.163.com/18808/normal/201804/98372.html#2017rchqjining,,周末可发 只发汽车相关
网易-汽车青岛,网页收录,山东,中国五大门户,不包网页收录,汽车,30,http://dealers.auto.163.com/54502/normal/201510/25794.html,,周末可发 只发汽车相关
网易-汽车济南-,网页收录,山东,中国五大门户,不包网页收录,汽车,30,http://jinan.auto.163.com/54526/normal/201804/98644.html,,周末可发 只发汽车相关
网易-汽车德州,网页收录,山东,中国五大门户,不包网页收录,汽车,30,http://dezhou.auto.163.com/54563/normal/201804/98579.html,,周末可发 只发汽车相关
网易-汽车潍坊,网页收录,山东,中国五大门户,不包网页收录,汽车,30,http://weifang.auto.163.com/54719/normal/201804/98576.html,,周末可发 只发汽车相关
网易-汽车淄博,网页收录,山东,中国五大门户,不包网页收录,汽车,30,http://zibo.auto.163.com/54978/normal/201804/98577.html,,周末可发 只发汽车相关
网易-汽车烟台,网页收录,山东,中国五大门户,不包网页收录,汽车,30,http://dealers.auto.163.com/55000/normal/201804/103461.html,,周末可发 只发汽车相关
网易-汽车聊城,网页收录,山东,中国五大门户,不包网页收录,汽车,30,http://dealers.auto.163.com/54993/normal/201804/103460.html,,周末可发 只发汽车相关
网易-汽车长春,网页收录,吉林,中国五大门户,不包网页收录,汽车,35,http://changchun.auto.163.com/54769/composite/201803/22068.html,,周末可发 只发汽车相关
新浪网-汽车鹰潭,网页收录,江西,中国五大门户,不包网页收录,汽车,35,http://yingt.auto.sina.com.cn/bdcs/2017-07-14/detail-ifyiakwa4146733.shtml,,周末可发 只发汽车相关
新浪网-汽车抚州,网页收录,江西,中国五大门户,不包网页收录,汽车,35,http://fuzhou.auto.sina.com.cn/bdcs/2017-07-14/detail-ifyiakwa4146705.shtml,,周末可发 只发汽车相关
新浪网-汽车上饶,网页收录,江西,中国五大门户,不包网页收录,汽车,35,http://sr.auto.sina.com.cn/2018-03-02/detail-ifwnpcnt0089810.shtml,,周末可发 只发汽车相关
新浪网-汽车赣州,网页收录,江西,中国五大门户,不包网页收录,汽车,35,http://ganzhou.auto.sina.com.cn/bdcs/2018-02-28/detail-ifyrzexa6295417.shtml,,周末可发 只发汽车相关
新浪网-汽车新余,网页收录,江西,中国五大门户,不包网页收录,汽车,35,http://xiny.auto.sina.com.cn/bdcs/2018-02-23/detail-ifyrvspi1091713.shtml,,周末可发 只发汽车相关
新浪网-汽车景德镇,网页收录,江西,中国五大门户,不包网页收录,汽车,35,http://jdz.auto.sina.com.cn/bdcs/2018-02-28/detail-ifyrzexa6303118.shtml,,周末可发 只发汽车相关
新浪网-汽车九江,网页收录,江西,中国五大门户,不包网页收录,汽车,30,http://jj.auto.sina.com.cn/2018-03-20/detail-ifyskeuc8873860.shtml,,周末可发 只发汽车相关
新浪网-汽车宜春,网页收录,全国,中国五大门户,不包网页收录,汽车,30,http://ychun.auto.sina.com.cn/bdcs/2018-08-28/detail-ihikcahe7645286.shtml,,周末可发 只发汽车相关
新浪网-汽车萍乡,网页收录,江西,中国五大门户,不包网页收录,汽车,35,http://px.auto.sina.com.cn/2018-01-04/detail-ifyqkarr7120570.shtml,,周末可发  只发汽车相关
搜狐网-汽车无锡,百度新闻源收录,江苏,中国五大门户,不包百度新闻源收录,汽车,35,http://wuxi.auto.sohu.com/20180413/n534773155.shtml,,周末可发  只发汽车相关
搜狐网-汽车南京,百度新闻源收录,江苏,中国五大门户,不包百度新闻源收录,汽车,30,http://nanjing.auto.sohu.com/20180321/n532936148.shtml,,周末可发 只发汽车相关
搜狐网-汽车深圳,百度新闻源收录,广东,中国五大门户,不包百度新闻源收录,汽车,40,https://www.sohu.com/a/280808843_126084,,周末可发 只发汽车相关
网易-汽车主站,百度新闻源收录,全国,中国五大门户,不包百度新闻源收录,汽车,60,http://auto.163.com/18/1021/18/DULNIF96000898LL.html,,无口，不能带链接、二维码、电话； 需要18字符短标题，超出编辑自行修改不通知，次日出稿
壹车网,网页收录,全国,全国商业门户,不包网页收录,汽车,40,http://www.1auto.net/zixun/20180611166149.html,,周末可发 不发负面 ；加盟、医 疗、金 融可发不保证
车之旅,网页收录,全国,全国商业门户,不包网页收录,汽车,36,http://www.chezhilv.cn/meiti/zonghe/20180228/1500139.html,,周末可发 不发负面 ；加盟、医 疗、金 融可发不保证
腾讯网汽车-秦皇岛,百度新闻源收录,河北,中国五大门户,不包百度新闻源收录,汽车,30,http://qinhuangdao.auto.qq.com/a/20180823/056352.htm,,周末不发 只发汽车相关
腾讯网汽车-沧州,百度新闻源收录,河北,中国五大门户,不包百度新闻源收录,汽车,30,http://cangzhou.auto.qq.com/a/20180813/058854.htm,,周末不发 只发汽车相关
腾讯网汽车-延吉,百度新闻源收录,吉林,中央新闻门户,不包百度新闻源收录,汽车,40,http://yanji.auto.qq.com/a/20170505/041361.htm,,周末不发 只发汽车相关
腾讯网汽车-四平,百度新闻源收录,吉林,中国五大门户,不包百度新闻源收录,汽车,40,http://siping.auto.qq.com/a/20170413/033601.htm,,周末不发  只发汽车相关
腾讯网汽车-成都,百度新闻源收录,四川,中国五大门户,不包百度新闻源收录,汽车,40,http://chengdu.auto.qq.com/a/20180626/014402.htm,,周末可发  只发汽车相关
汽车时报网,网页收录,全国,全国商业门户,不包网页收录,新闻资讯,40,http://www.qicheshibao.com/article-405-1.html,,标题长了或短了编辑会自己改标题  上稿前请自行备注
汽车大观,网页收录,全国,全国商业门户,不包网页收录,新闻资讯,45,https://www.auto-sight.com/a/xinche/2018/0914/910.html,,上汽车类
汽车世界网,网页收录,全国,全国商业门户,不包网页收录,汽车,50,http://www.qcsj.com/archive.php?aid=777182,,汽车相关
新车购网,网页收录,全国,全国商业门户,不包网页收录,新闻资讯,38,http://www.xinchego.com/archive.php?aid=789223,,标题25之内，汽车相关
中国汽车消费网-天津,网页收录,天津,地方商业门户,不包网页收录,新闻资讯,45,http://inf.315che.com/n/2018_09/1081220/,,还需要链接 标题18个字以内，超出编辑自行修改
猫扑汽车,网页收录,全国,全国商业门户,不包网页收录,汽车,35,http://auto.mop.com/a/180921130841073.html,,周末可发 只发汽车行业相关
车主之家-其它城市,网页收录,天津,全国商业门户,不包网页收录,汽车,45,http://news.16888.com/a/2018/0918/12382872.html,,不包 周末可发 只发汽车类及汽车周边；收录带入口，不保证100%收录（惠州、中山、江门、珠海、无锡、常州、苏州、南通、宁波、兰州不支持）
车主之家-深圳,网页收录,广东,全国商业门户,不包网页收录,汽车,55,http://news.16888.com/a/2018/0918/12383001.html,,深圳站 周末可发 只发汽车类及汽车周边；收录带入口，不保证100%收录
车主之家-广州,网页收录,广东,全国商业门户,不包网页收录,汽车,55,http://news.16888.com/a/2018/0908/12301844.html,,广州站 周末可发 只发汽车类及汽车周边；收录带入口，不保证100%收录
车主之家-上海,网页收录,上海,全国商业门户,不包网页收录,汽车,55,http://news.16888.com/a/2018/0915/12364333.html,,
车主之家-北京,网页收录,北京,全国商业门户,不包网页收录,汽车,55,http://news.16888.com/a/2018/0910/12319453.html,,周末可发 只发汽车类及汽车周边；收录带入口，不保证100%收录
车讯网（主站）,百度新闻源收录,全国,全国商业门户,不包百度新闻源收录,汽车,65,http://www.chexun.com/2018-09-10/107130009.html,,18字符以下标题，超行修改 ，不符合规定编辑会修改， 周末可发 发汽车相关，其它稿件删稿不退稿费
车讯网-成都,百度新闻源收录,四川,全国商业门户,不包百度新闻源收录,汽车,40,http://www.chexun.com/2018-01-22/105019984.html,,不包 周末可发 只发汽车相关
车讯网-武汉,百度新闻源收录,湖北,全国商业门户,不包百度新闻源收录,汽车,40,http://www.chexun.com/2017-12-07/104825141.html,,不包 周末可发 只发汽车相关
车讯网-杭州,百度新闻源收录,浙江,全国商业门户,不包百度新闻源收录,汽车,40,http://www.chexun.com/2018-03-26/105178217.html,,不包 周末可发 只发汽车相关
车讯网-北京,百度新闻源收录,北京,全国商业门户,不包百度新闻源收录,汽车,40,http://www.chexun.com/2018-04-03/105200898.html,,不包 周末可发 只发汽车相关
车讯网-上海,百度新闻源收录,上海,全国商业门户,不包百度新闻源收录,汽车,40,http://www.chexun.com/2017-09-11/104477492.html,,不包 周末可发 只发汽车相关
车讯网-重庆,百度新闻源收录,重庆,全国商业门户,不包百度新闻源收录,汽车,40,http://www.chexun.com/2018-03-19/105153984.html,,不包 周末可发 只发汽车相关
车讯网-深圳,百度新闻源收录,广东,全国商业门户,不包百度新闻源收录,汽车,40,http://www.chexun.com/2017-06-30/104255039.html,,不包 周末可发 只发汽车相关
车讯网-广州,百度新闻源收录,全国,全国商业门户,不包百度新闻源收录,汽车,40,http://www.chexun.com/2017-07-01/104258266.html,,不包 周末可发 只发汽车相关
凤凰汽车深圳,网页收录,广东,地方重点门户,不包网页收录,汽车,67,http://auto.ifeng.com/shenzhen/shangqing/2018/0911/27290.shtml,,
东莞市汽车网,网页收录,广东,地方重点门户,包网页收录,汽车,50,http://www.qc0769.com/html/kanche/20180911/945313_1.html,,
云上汽车网,网页收录,全国,全国商业门户,包网页收录,汽车,38,http://www.cloudscar.com/Main/zxnr_xin.aspx?cid=4DC1A25A3B01C5EE,,不包 只发汽车相关 周末可发
齐鲁网-汽车,网页收录,山东,地方商业门户,包网页收录,汽车,55,http://qiche.iqilu.com/chewen/20180806/4005976.shtml,,
中部汽车网,网页收录,全国,全国商业门户,不包网页收录,汽车,25,http://www.zhongbuauto.com/news/detail/article/72741.html,,
汽车市场网,网页收录,全国,全国商业门户,不包网页收录,汽车,45,http://news.automarket.net.cn/file/gz/20188/0_14_0_278175_1.html,,
汽车口碑网,网页收录,全国,全国商业门户,不包网页收录,汽车,40,http://www.chekb.com/archive.php?aid=11880045,,
车家网,网页收录,全国,全国商业门户,不包网页收录,汽车,35,http://www.autoij.com/kanche/20180817/779212_1.html,,
汽车江湖网,网页收录,全国,全国商业门户,不包网页收录,汽车,45,http://www.qc188.com/cwcs/201808/348053.html,,
汽车大本营,网页收录,全国,全国商业门户,不包网页收录,汽车,35,http://www.cheche520.cn/news/2983.html,,
车迷之家-,网页收录,全国,全国商业门户,不包网页收录,汽车,45,http://www.chefans.com/new/201808/527_1.shtml,,只发汽车行业，其它稿件删稿不退稿费
购车网,网页收录,全国,全国商业门户,不包网页收录,汽车,35,http://news.ecar168.cn/content/201808/2018082321382657754.htm,,只发汽车行业，其它稿件删稿不退稿费
汽车探索网,网页收录,全国,全国商业门户,不包网页收录,汽车,60,http://www.feelcars.com/159846.html,,
汽车网评（自媒体）,网页收录,全国,全国商业门户,不包网页收录,汽车,35,http://www.qcwp.com/news/464429.html,,只发汽车稿件
中国时代车网,网页收录,全国,全国商业门户,不包网页收录,汽车,60,http://www.cnautotime.cn/news.php?rid=25920,,
三人行汽车网,网页收录,全国,全国商业门户,不包网页收录,汽车,55,http://www.ttcar365.com/kanche/20170327/853409_1.html,,
中国汽车新闻网,网页收录,全国,全国商业门户,不包网页收录,汽车,55,http://www.cnautonews.net/index.php?s=/Index/artical/aid/6991/,,
第一车市,百度新闻源收录,全国,全国商业门户,不包百度新闻源收录,汽车,70,http://www.yicheshi.com/static/kanche/20180626/860818_1.html,,不发负面
车问网,网页收录,全国,全国商业门户,不包网页收录,新闻资讯,47,http://www.chewen.com/journal/201806/869755.html,,上相关
汽车时代网,百度新闻源收录,全国,全国商业门户,不包百度新闻源收录,新闻资讯,46,http://www.autotimes.com.cn/news/201807/875128.html,,不发违规
中青在线-汽车,网页收录,全国,全国商业门户,不包网页收录,新闻资讯,62,http://auto.cyol.com/content/2018-04/24/content_17128816.htm,,要白名单首发来源 标题18字内，编辑会自己修改，涉政、负面维权、博彩、宗教
南京汽车会,网页收录,江苏,地方商业门户,不包网页收录,汽车,10,http://www.njchehui.cn/,,
成都汽车网,网页收录,四川,地方商业门户,不包网页收录,汽车,10,http://www.cdautos.cn/,,
杭州汽车网,网页收录,浙江,地方商业门户,不包网页收录,汽车,10,http://www.hzautos.cn/,,
汽车导购网,网页收录,全国,全国商业门户,不包网页收录,汽车,10,http://www.chegous.cn/,,
贵州汽车网,网页收录,贵州,地方商业门户,不包网页收录,汽车,10,http://www.guiqiche.cn/,,
陕西汽车网,网页收录,陕西,地方商业门户,不包网页收录,汽车,10,http://www.sxautos.cn/,,
四川汽车网,网页收录,四川,地方商业门户,不包网页收录,汽车,10,http://www.scqiche.cn/,,
百车网,网页收录,全国,全国商业门户,不包网页收录,汽车,10,http://www.baichewang.com.cn/,,
山西汽车网,网页收录,山西,地方商业门户,不包网页收录,汽车,10,http://www.sxiche.cn/,,
无忧汽车网,网页收录,全国,全国商业门户,不包网页收录,汽车,10,http://www.wuyouches.cn/,,
福建汽车网,网页收录,全国,地方商业门户,不包网页收录,汽车,10,http://www.fjqiches.cn/,,
云南汽车网,网页收录,云南,地方商业门户,不包网页收录,汽车,10,http://www.ynqiche.cn/,,
广东汽车网。,网页收录,广东,地方商业门户,不包网页收录,汽车,10,http://www.gdqiche.com.cn/,,
浙车会,网页收录,浙江,地方商业门户,不包网页收录,汽车,10,http://www.zchehui.com.cn/,,
江西汽车网,网页收录,江西,地方商业门户,不包网页收录,汽车,10,http://www.jxautos.cn/,,
湖北汽车网,网页收录,湖北,地方商业门户,不包网页收录,汽车,10,http://www.hubatuo.cn/,,
苏车会,网页收录,江苏,地方商业门户,不包网页收录,汽车,10,http://www.suauto.com.cn/,,
河南汽车网,网页收录,河南,全国商业门户,不包网页收录,汽车,10,http://www.henqiche.cn/,,
青海汽车网,网页收录,全国,地方商业门户,不包网页收录,汽车,10,http://www.qhqiche.com.cn/,,
甘肃汽车网,网页收录,全国,地方商业门户,不包网页收录,汽车,10,http://www.gsqiche.cn/,,
酷车吧,网页收录,全国,全国商业门户,不包网页收录,汽车,10,http://www.kucheba.cn/,,
黑龙江汽车网,网页收录,黑龙江,地方商业门户,不包网页收录,汽车,10,http://www.hljautos.cn,,
辽车网,网页收录,辽宁,地方商业门户,不包网页收录,汽车,10,http://www.lqiche.cn/,,
山东汽车网,网页收录,山东,地方商业门户,不包网页收录,汽车,10,http://www.sdautos.cn/,,
冀车展,网页收录,全国,全国商业门户,不包网页收录,汽车,10,http://www.jchezhan.cn/,,
天津汽车网,网页收录,天津,地方商业门户,不包网页收录,汽车,10,http://www.tjautos.cn/,,
上海汽车网,网页收录,上海,地方商业门户,不包网页收录,汽车,10,http://www.shautos.cn/,,
京车网,网页收录,北京,全国商业门户,不包网页收录,汽车,10,http://www.jingauto.cn/,,
重庆汽车网,网页收录,重庆,地方商业门户,不包网页收录,汽车,10,http://www.cqqiche.com.cn/,,
only汽车网,网页收录,全国,全国商业门户,不包网页收录,汽车,10,http://www.onlyauto.com.cn/,,
车榜网,网页收录,全国,全国商业门户,不包网页收录,汽车,10,http://www.chebangs.cn/,,
闽南直通车,网页收录,福建,地方商业门户,不包网页收录,新闻资讯,10,http://www.mnztc.cn,,
一猫汽车网-沈阳,网页收录,辽宁,地方商业门户,不包网页收录,新闻资讯,41,http://city.emao.com/hangqing/201712/57136.html,,没口   违法负面，标题18字内，编辑会自己修改
一猫汽车网-北京,网页收录,北京,地方商业门户,不包网页收录,新闻资讯,51,http://city.emao.com/hangqing/197001/54830.html,,没口   违法负面，标题18字内，编辑会自己修改
环球汽车网,网页收录,全国,全国商业门户,不包网页收录,新闻资讯,46,http://www.huanqiuauto.com/news/20171214/881717_1.html,,不发布负面报道
购车网-,网页收录,全国,全国商业门户,不包网页收录,新闻资讯,40,http://news.ecar168.cn/content/201703/2017030110360857975.htm,,有口，标题18字内，编辑会自己修改
太平洋汽车网-上饶,网页收录,江西,地方商业门户,不包网页收录,新闻资讯,41,http://www.pcauto.com.cn/qcbj/1164/11641604.html,,有口标题18字内，编辑会自己修改
新浪网-汽车南昌,网页收录,江西,中国五大门户,不包网页收录,新闻资讯,40,http://nc.auto.sina.com.cn/bdcs/2016-12-30/detail-ifxzczff3456030.shtml,http://nc.auto.sina.com.cn/bdcs/2016-12-30/detail-ifxzczff3456030.shtml,只发汽车稿件。标题18字内，编辑会自己修改     如果需要入口的话要说明备注
车展网,网页收录,全国,全国商业门户,不包网页收录,新闻资讯,10,http://www.chezhanwang.com.cn/2017/0207/9108.html,http://www.chezhanwang.com.cn,
吉车网,网页收录,吉林,地方商业门户,不包网页收录,新闻资讯,10,http://www.jiches.cn/2017/0405/10420.html,http://www.jiches.cn/xun/,
湖南汽车网,网页收录,湖南,地方商业门户,不包网页收录,新闻资讯,10,http://www.hnautos.cn/2017/0822/15688.html,http://www.hnautos.cn/che/,
评车网,网页收录,全国,全国商业门户,不包网页收录,新闻资讯,10,http://www.pingauto.cn/2017/0607/12725.html,http://www.pingauto.cn/xin/,
爱车网,网页收录,全国,全国商业门户,不包网页收录,新闻资讯,10,http://www.loveqiches.cn/2017/0607/12726.html,http://www.loveqiches.cn/che/,
安徽汽车网,网页收录,安徽,地方商业门户,不包网页收录,新闻资讯,10,http://www.ahqiche.com.cn/2017/0309/10040.html,http://www.ahqiche.com.cn/shi/,
